feature_name,feature_type,country,ocean,population,latitude,longitude
Unknown River,River,Russia,,0,56.035710776415975,97.93602040788898
Unknown River,River,Russia,,0,63.0823043797431,62.45457107831312
Unknown River,River,Russia,,0,51.93541698311912,136.28058168529884
Unknown River,River,Russia,,0,65.7970499256947,145.47819200401278
Unknown River,River,Russia,,0,66.64494125340774,136.92206460876235
Unknown River,River,China,,0,47.85716661014192,122.66136088114482
Unknown River,River,Russia,,0,46.707372018579164,135.90569673089325
Unknown River,River,Russia,,0,58.82052863874877,136.37667752538292
Unknown River,River,Russia,,0,60.63016764967608,143.08960286514386
Unknown River,River,Brazil,,0,-10.309022106347308,-61.70009334174348
Unknown River,River,Venezuela,,0,4.655555306383324,-65.9451766350282
Unknown River,River,Brazil,,0,-1.9409618706958462,-59.23663543683009
Unknown River,River,Brazil,,0,-16.687023238218874,-55.182463676488936
Unknown River,River,Brazil,,0,-22.040074645398473,-54.24983315527117
Unknown River,River,Brazil,,0,-18.147669859311375,-51.464866003888574
Unknown River,River,Argentina,,0,-24.515391836822225,-61.78304186304708
Unknown River,River,Nigeria,,0,10.351748725604352,10.87063593187663
Unknown River,River,South Africa,,0,-26.452440919930552,22.406606793693527
Unknown River,River,Namibia,,0,-24.875197814608466,18.819549883650804
Unknown River,River,Madagascar,,0,-23.215706427304703,45.09132839475794
Unknown River,River,China,,0,34.56222624176576,107.16196353829704
Unknown River,River,Russia,,0,61.22330086017768,80.95347733729325
Unknown River,River,China,,0,32.306800568864425,90.1830948546688
Unknown River,River,China,,0,34.42598907328683,86.63003850074784
Unknown River,River,China,,0,36.88250807585317,89.96499740651817
Unknown River,River,Turkmenistan,,0,35.28945471470566,62.60267778532738
Unknown River,River,China,,0,36.44242710418691,80.33730865223374
Unknown River,River,Uzbekistan,,0,39.69502451505884,66.79948125857959
Unknown River,River,China,,0,37.82198003223524,108.93735890825147
Unknown River,River,China,,0,35.11700709665956,107.78980258949464
Unknown River,River,China,,0,33.31012380512762,93.37155620969712
Unknown River,River,Myanmar,,0,22.460270189855414,97.10869458302703
Unknown River,River,China,,0,35.59370624236453,112.63634922661312
Unknown River,River,China,,0,28.17252558331253,119.6994602654129
Unknown River,River,India,,0,20.926009648150938,79.85505669764687
Unknown River,River,China,,0,40.96360114107613,77.87406477354055
Unknown River,River,India,,0,25.63147144238027,75.24329225659237
Unknown River,River,India,,0,20.18807347784877,83.0676009805292
Unknown River,River,China,,0,28.91567715915644,97.30814762453556
Unknown River,River,China,,0,36.47261800343929,114.1971860141598
Unknown River,River,Mongolia,,0,48.42977948977737,103.77246858682831
Unknown River,River,Philippines,,0,17.157297856858143,121.71133082272381
Unknown River,River,India,,0,12.872784837151993,78.9884758989515
Unknown River,River,Russia,,0,65.73906713692227,118.62754400417859
Unknown River,River,Russia,,0,66.31672493163084,131.72597704163775
Unknown River,River,Russia,,0,65.72324655910606,162.498813316549
Unknown River,River,Chad,,0,9.104871712663991,19.87588883350079
Unknown River,River,Zambia,,0,-11.660098080051172,29.79536722148491
Unknown River,River,Thailand,,0,16.62583456059026,102.8274509248274
Unknown River,River,China,,0,40.70817973925492,117.90003746811419
Unknown River,River,Russia,,0,71.24983893711115,116.36073866302578
Unknown River,River,Peru,,0,-9.19107128904408,-77.86492122793773
Unknown River,River,Mozambique,,0,-26.84150859497681,32.41129627242499
Unknown River,River,Dem. Rep. Congo,,0,2.541411457391811,20.470635465302415
Unknown River,River,Mali,,0,13.663959131936238,-10.375037650100165
